city,latitude,longitude,elevation_m,month,is_monsoon,is_coastal,rainfall_24h_mm,rainfall_48h_mm,rainfall_72h_mm,max_hourly_rate_mm,temperature_c,humidity_pct,pressure_hpa,wind_speed_kmh,flood_occurred
Srinagar,34.08,74.8,1585,10,0,0,18.9,49.2,58.0,2.7,20.3,53.3,1013.3,4.0,0
Patna,25.61,85.14,53,9,1,0,7.1,13.6,16.0,1.2,28.5,90.0,1001.0,3.2,0
Kochi,9.93,76.27,0,3,0,1,16.2,21.8,32.8,0.3,24.1,70.8,1016.2,4.7,0
Ahmedabad,23.02,72.57,53,10,0,1,4.6,6.2,6.7,0.3,32.9,46.7,1020.8,11.6,0
Pune,18.52,73.86,560,9,1,0,22.6,31.4,31.6,1.2,20.3,82.5,1012.0,6.9,0
Ahmedabad,23.02,72.57,53,4,0,1,8.5,15.0,25.6,0.0,28.5,70.2,1015.9,3.3,0
Lucknow,26.85,80.95,123,3,0,0,0.6,0.6,0.8,0.0,19.4,57.2,1015.8,13.0,0
Kolkata,22.57,88.36,11,8,1,1,22.8,27.2,32.1,0.4,32.7,94.1,1009.2,2.4,0
Bengaluru,12.97,77.59,920,7,1,0,15.9,39.7,43.2,0.2,23.1,77.5,1007.2,6.0,0
Thiruvananthapuram,8.52,76.94,10,11,0,1,0.0,0.0,0.0,0.0,22.6,63.7,1024.3,28.4,0
Dibrugarh,27.47,94.91,108,1,0,0,2.7,5.5,6.1,0.4,25.7,49.2,1017.5,4.8,0
Dehradun,30.32,78.03,640,5,0,0,1.7,1.9,2.0,0.0,27.9,69.5,1015.1,6.3,0
Delhi,28.61,77.23,216,9,1,0,24.3,88.5,89.9,3.6,21.7,81.3,1020.0,10.1,0
Srinagar,34.08,74.8,1585,11,0,0,44.2,52.7,54.2,0.5,11.6,68.5,1021.1,3.5,0
Guwahati,26.14,91.74,55,1,0,0,17.9,28.9,31.2,2.0,19.2,52.2,1014.0,4.9,0
Ranchi,23.34,85.31,651,6,1,0,2.5,10.6,11.2,0.1,22.6,70.0,992.4,26.1,0
Thiruvananthapuram,8.52,76.94,10,9,1,1,10.5,21.4,21.4,0.5,29.8,69.6,988.4,5.8,1
Varanasi,25.32,83.01,81,12,0,0,34.1,56.9,58.2,1.3,26.7,48.7,1016.9,7.5,0
Ahmedabad,23.02,72.57,53,6,1,1,8.8,11.3,12.8,0.3,36.3,76.5,993.6,3.9,0
Guwahati,26.14,91.74,55,2,0,0,7.3,28.5,34.1,0.2,22.5,59.9,1017.2,16.8,0
Pune,18.52,73.86,560,6,1,0,7.2,8.9,9.0,0.2,30.8,86.6,998.8,6.8,0
Ranchi,23.34,85.31,651,1,0,0,22.6,42.2,43.9,2.0,16.4,95.0,1011.5,3.7,0
Hyderabad,17.39,78.49,542,5,0,0,0.2,0.3,0.3,0.0,17.6,67.6,1013.3,8.2,0
Lucknow,26.85,80.95,123,2,0,0,9.7,10.0,30.5,0.1,21.6,56.8,1020.5,1.0,0
Pune,18.52,73.86,560,3,0,0,1.7,2.7,2.9,0.1,19.2,74.1,1020.6,8.5,0
Kochi,9.93,76.27,0,7,1,1,78.9,129.2,143.0,7.4,23.4,78.5,1013.6,5.9,1
Patna,25.61,85.14,53,7,1,0,33.9,40.0,59.4,0.6,22.3,78.9,1002.9,0.1,0
Dehradun,30.32,78.03,640,5,0,0,2.1,3.4,4.0,0.1,19.9,39.2,1009.2,8.4,0
Kolkata,22.57,88.36,11,9,1,1,58.3,167.7,171.0,0.8,32.3,79.5,1011.2,19.9,0
Visakhapatnam,17.69,83.22,45,1,0,1,17.6,29.0,44.9,2.2,21.6,92.4,1010.0,8.8,0
Imphal,24.82,93.95,786,5,0,0,12.3,12.6,13.0,1.9,17.1,90.2,1013.7,2.8,0
Lucknow,26.85,80.95,123,4,0,0,13.7,15.3,15.9,1.8,20.5,44.3,1015.7,0.2,0
Visakhapatnam,17.69,83.22,45,12,0,1,21.9,70.9,80.5,0.0,20.5,49.7,1016.5,0.9,0
Silchar,24.83,92.78,35,10,0,0,6.4,6.9,8.5,0.1,29.0,55.4,1016.4,5.9,0
Chennai,13.08,80.27,6,11,0,1,0.4,0.4,0.5,0.0,19.4,63.4,1008.5,3.8,0
Shillong,25.57,91.88,1496,5,0,0,10.5,41.3,46.0,0.5,15.8,55.2,1013.0,6.3,0
Raipur,21.25,81.63,298,5,0,0,34.4,38.5,39.3,1.7,19.4,65.6,1021.0,6.2,0
Bengaluru,12.97,77.59,920,2,0,0,1.0,3.0,3.3,0.0,15.5,51.0,1014.4,11.4,0
Mumbai,19.08,72.88,14,8,1,1,59.6,134.6,148.2,1.3,36.6,83.3,996.1,16.2,1
Kolkata,22.57,88.36,11,1,0,1,3.2,5.3,5.8,0.5,27.1,63.7,1012.0,14.0,0
Visakhapatnam,17.69,83.22,45,9,1,1,46.7,51.2,58.0,12.2,38.4,70.4,994.1,26.1,0
Kolkata,22.57,88.36,11,10,0,1,4.9,4.9,6.8,0.3,22.2,85.2,1009.2,12.3,0
Dibrugarh,27.47,94.91,108,5,0,0,8.6,13.4,17.3,1.8,28.4,87.9,1022.4,5.5,0
Pune,18.52,73.86,560,3,0,0,0.5,0.9,1.2,0.0,16.5,76.7,1009.8,3.2,0
Varanasi,25.32,83.01,81,1,0,0,0.9,1.6,3.9,0.3,19.5,67.2,1006.2,8.1,0
Visakhapatnam,17.69,83.22,45,11,0,1,11.1,37.0,37.8,1.7,33.2,64.6,1006.1,14.4,0
Bengaluru,12.97,77.59,920,3,0,0,24.6,55.0,73.2,0.6,19.4,53.0,1005.0,5.3,0
Kochi,9.93,76.27,0,10,0,1,0.8,1.1,1.5,0.1,26.8,59.6,1021.9,1.7,0
Shillong,25.57,91.88,1496,8,1,0,34.7,66.9,118.0,2.0,28.3,74.4,995.4,2.5,0
Jaipur,26.91,75.79,431,4,0,0,0.3,0.4,0.5,0.1,23.2,61.5,1007.3,22.1,0
Delhi,28.61,77.23,216,10,0,0,4.9,16.6,17.2,0.7,25.4,73.3,1008.4,5.0,0
Silchar,24.83,92.78,35,5,0,0,9.2,10.1,11.0,0.3,25.8,47.9,1011.4,5.9,0
Chennai,13.08,80.27,6,12,0,1,12.4,18.2,18.6,1.0,18.6,62.6,1011.2,35.0,0
Visakhapatnam,17.69,83.22,45,9,1,1,63.9,104.3,124.5,0.5,36.8,63.1,994.9,7.4,1
Imphal,24.82,93.95,786,1,0,0,2.1,2.6,3.8,0.2,22.7,49.4,1010.4,16.9,0
Pune,18.52,73.86,560,11,0,0,25.9,38.6,46.9,0.3,15.8,83.7,1014.9,4.0,0
Kolkata,22.57,88.36,11,6,1,1,28.5,30.2,36.8,0.8,36.3,64.4,994.7,3.9,0
Hyderabad,17.39,78.49,542,7,1,0,54.0,80.4,84.3,6.4,31.2,59.9,1011.5,1.5,0
Kochi,9.93,76.27,0,1,0,1,8.9,15.9,22.0,0.4,20.7,58.6,1011.4,53.5,0
Bengaluru,12.97,77.59,920,7,1,0,5.9,26.6,35.8,0.8,27.3,74.6,1012.4,0.8,0
Guwahati,26.14,91.74,55,9,1,0,112.1,356.2,374.6,4.9,31.1,77.8,992.9,3.0,1
Dibrugarh,27.47,94.91,108,2,0,0,17.0,19.9,20.7,0.2,21.5,61.0,1018.2,18.9,0
Imphal,24.82,93.95,786,2,0,0,12.7,16.0,25.4,1.0,21.3,78.3,1020.6,1.1,0
Visakhapatnam,17.69,83.22,45,2,0,1,3.8,4.2,7.1,0.1,22.2,53.0,1014.0,12.4,0
Guwahati,26.14,91.74,55,10,0,0,7.2,7.3,8.3,1.0,28.3,45.0,1009.6,8.7,0
Dehradun,30.32,78.03,640,3,0,0,22.4,24.0,29.3,1.7,22.5,70.1,1022.5,3.8,0
Pune,18.52,73.86,560,11,0,0,4.9,10.6,11.3,1.5,25.9,56.7,1015.1,0.1,0
Bhubaneswar,20.3,85.82,45,9,1,1,21.6,48.3,49.3,3.3,25.2,77.7,1009.5,3.3,0
Mumbai,19.08,72.88,14,8,1,1,21.0,32.5,33.1,5.5,28.1,88.0,995.9,5.0,0
Dibrugarh,27.47,94.91,108,7,1,0,47.7,63.7,69.6,9.3,38.8,78.0,1009.4,2.3,0
Patna,25.61,85.14,53,3,0,0,6.6,6.7,12.1,0.1,22.1,62.7,1021.5,19.3,0
Pune,18.52,73.86,560,9,1,0,19.7,54.7,59.3,3.8,34.2,79.2,1000.2,1.1,0
Guwahati,26.14,91.74,55,6,1,0,100.1,347.9,360.4,6.5,30.3,80.3,989.0,19.0,1
Imphal,24.82,93.95,786,12,0,0,5.8,9.2,10.7,0.4,33.5,38.8,1000.0,6.2,0
Srinagar,34.08,74.8,1585,1,0,0,2.3,3.5,4.2,0.1,16.3,76.3,1010.1,0.7,0
Jaipur,26.91,75.79,431,1,0,0,1.0,2.2,2.5,0.2,19.3,61.6,1002.2,4.4,0
Ahmedabad,23.02,72.57,53,8,1,1,120.9,147.8,231.8,46.9,27.3,88.2,1015.3,3.6,1
Varanasi,25.32,83.01,81,1,0,0,8.6,11.1,13.2,0.5,23.5,49.4,1014.7,11.1,0
Mumbai,19.08,72.88,14,12,0,1,0.8,1.3,1.7,0.0,24.4,67.7,1012.2,12.1,0
Ranchi,23.34,85.31,651,9,1,0,44.8,48.3,90.0,0.4,21.0,85.1,1008.1,0.1,0
Ahmedabad,23.02,72.57,53,3,0,1,5.4,13.2,16.8,0.2,31.4,57.2,1009.2,0.8,0
Raipur,21.25,81.63,298,6,1,0,93.6,137.5,211.6,10.4,25.7,76.1,1001.7,4.8,1
Ahmedabad,23.02,72.57,53,9,1,1,28.6,36.6,47.1,4.4,24.8,88.3,989.0,2.2,1
Patna,25.61,85.14,53,7,1,0,9.7,10.7,10.8,1.3,22.7,79.5,1009.2,0.6,0
Lucknow,26.85,80.95,123,1,0,0,1.0,2.1,2.4,0.1,24.5,61.6,1019.0,1.2,0
Pune,18.52,73.86,560,6,1,0,122.8,150.5,158.3,10.3,27.4,67.9,991.4,3.7,1
Patna,25.61,85.14,53,3,0,0,21.8,75.9,78.9,8.8,17.0,77.6,1014.8,3.3,0
Guwahati,26.14,91.74,55,5,0,0,1.7,3.2,4.4,0.1,19.4,86.0,1024.2,1.7,0
Srinagar,34.08,74.8,1585,5,0,0,3.9,5.9,6.1,0.3,16.0,30.3,1016.7,4.1,0
Srinagar,34.08,74.8,1585,3,0,0,19.8,31.3,33.1,1.2,16.9,76.5,1022.8,6.3,0
Imphal,24.82,93.95,786,11,0,0,22.1,49.2,50.4,4.3,22.4,64.0,1021.8,2.6,0
Pune,18.52,73.86,560,10,0,0,25.5,86.1,92.8,6.3,13.3,58.1,1007.1,2.7,0
Mumbai,19.08,72.88,14,8,1,1,36.7,46.6,65.6,10.3,18.9,87.9,1004.5,11.1,0
Thiruvananthapuram,8.52,76.94,10,4,0,1,15.5,16.1,16.1,2.0,19.8,62.4,1013.0,4.5,0
Kolkata,22.57,88.36,11,11,0,1,0.3,0.8,0.8,0.1,36.1,73.3,1016.9,12.4,0
Ahmedabad,23.02,72.57,53,2,0,1,3.7,7.2,14.1,0.1,30.8,63.2,1021.6,0.9,0
Bengaluru,12.97,77.59,920,8,1,0,125.9,288.9,349.5,1.7,33.1,85.7,1006.9,2.6,1
Guwahati,26.14,91.74,55,6,1,0,23.7,35.9,47.2,0.0,26.1,98.9,1009.3,14.8,0
Visakhapatnam,17.69,83.22,45,6,1,1,3.0,3.6,3.9,0.1,33.9,80.7,997.3,4.7,0
Raipur,21.25,81.63,298,7,1,0,12.6,19.6,21.8,1.6,13.4,82.6,1003.2,7.1,0
Hyderabad,17.39,78.49,542,6,1,0,3.9,6.8,9.5,0.8,32.6,73.2,1009.3,1.2,0
Varanasi,25.32,83.01,81,8,1,0,17.2,18.7,25.5,0.1,25.5,67.3,1002.8,0.0,0
Dehradun,30.32,78.03,640,6,1,0,68.7,73.1,85.4,2.7,24.4,75.1,1012.0,12.4,0
Thiruvananthapuram,8.52,76.94,10,3,0,1,5.4,16.2,16.4,0.8,12.8,56.6,1016.8,12.0,0
Dibrugarh,27.47,94.91,108,7,1,0,0.3,0.5,0.9,0.1,29.9,86.2,996.5,2.8,0
Raipur,21.25,81.63,298,4,0,0,13.6,17.2,34.3,1.2,16.3,53.4,1013.7,1.9,0
Pune,18.52,73.86,560,3,0,0,4.1,8.8,9.2,0.5,27.4,78.5,1011.4,1.9,0
Bengaluru,12.97,77.59,920,7,1,0,42.6,69.6,92.5,2.0,19.5,76.1,999.7,10.0,0
Ranchi,23.34,85.31,651,1,0,0,19.5,20.2,21.1,1.8,25.4,46.8,1005.9,0.1,0
Patna,25.61,85.14,53,6,1,0,25.9,33.9,41.7,2.9,29.6,80.3,981.9,26.5,0
Kochi,9.93,76.27,0,1,0,1,3.7,5.3,10.8,0.1,23.8,70.7,1016.6,3.7,0
Raipur,21.25,81.63,298,9,1,0,72.7,93.0,93.0,3.2,29.3,64.7,1005.0,15.0,0
