region,latitude,longitude,seismic_zone,event_count_30d,avg_magnitude,max_magnitude,magnitude_std,b_value,avg_depth_km,log_energy_release,inter_event_cv,recent_rate_7d,rate_change_ratio,significant_event_next30d
Delhi-NCR,28.36,77.74,4,2,2.52,2.99,0.475,1.0,80.6,4.506,0.0,0,0.0,0
Odisha,19.71,85.34,2,0,0.0,0.0,0.0,1.0,14.7,0.0,0.0,0,0.0,0
Himachal Pradesh,30.54,77.42,5,4,2.44,2.98,0.313,1.0,78.7,4.566,0.67,0,0.0,0
Nagaland,26.3,95.27,5,1,2.6,2.6,0.0,1.0,58.5,3.898,0.0,1,3.181,0
Mizoram,23.74,93.09,5,1,2.11,2.11,0.0,1.0,17.1,3.166,0.0,0,0.0,0
Gujarat-Kutch,23.89,70.63,5,0,0.0,0.0,0.0,1.0,22.5,0.0,0.0,1,3.181,0
Arunachal Pradesh,29.03,95.21,5,2,2.66,3.17,0.51,1.0,54.8,4.77,0.0,1,3.181,1
Manipur,23.96,94.88,5,2,2.7,3.16,0.468,1.0,10.9,4.762,0.0,0,0.0,0
Assam,25.55,92.4,5,3,2.9,3.27,0.326,1.0,85.9,5.049,0.231,0,0.0,1
Nagaland,27.12,93.77,5,0,0.0,0.0,0.0,1.0,23.1,0.0,0.0,0,0.0,0
Assam,25.88,91.32,5,2,2.28,2.56,0.276,1.0,45.5,3.897,0.0,1,3.181,0
Uttarakhand,31.23,78.63,5,2,2.96,3.16,0.199,1.0,69.1,4.831,0.0,1,3.181,1
Kashmir,34.7,75.72,5,0,0.0,0.0,0.0,1.0,20.1,0.0,0.0,1,3.181,1
Mizoram,23.16,92.09,5,3,2.21,2.5,0.207,1.0,10.5,3.915,0.422,0,0.0,1
Madhya Pradesh,22.97,78.14,2,0,0.0,0.0,0.0,1.0,35.1,0.0,0.0,0,0.0,0
Assam,26.84,92.05,5,3,2.36,2.84,0.344,1.0,13.1,4.334,0.162,0,0.0,1
Himachal Pradesh,31.28,78.02,5,1,2.19,2.19,0.0,1.0,25.4,3.285,0.0,1,3.181,0
Gujarat-Saurashtra,22.79,72.61,3,0,0.0,0.0,0.0,1.0,21.3,0.0,0.0,0,0.0,0
Tripura,24.68,90.73,5,5,2.48,2.77,0.225,0.825,13.9,4.541,0.564,1,0.815,1
Karnataka,15.3,75.61,2,0,0.0,0.0,0.0,1.0,7.6,0.0,0.0,0,0.0,0
West Bengal,21.68,89.37,3,1,3.83,3.83,0.0,1.0,5.5,5.745,0.0,0,0.0,0
Himachal Pradesh,31.95,78.01,5,6,2.36,2.79,0.249,1.062,33.1,4.483,0.662,0,0.0,1
Tripura,23.6,92.3,5,1,2.17,2.17,0.0,1.0,30.3,3.259,0.0,1,3.181,0
Madhya Pradesh,23.81,78.29,2,0,0.0,0.0,0.0,1.0,15.9,0.0,0.0,0,0.0,0
Kerala,9.55,75.92,3,1,2.02,2.02,0.0,1.0,6.4,3.034,0.0,0,0.0,0
Gujarat-Kutch,23.31,69.33,5,4,2.58,3.52,0.555,1.0,16.6,5.294,0.378,1,1.083,1
Gujarat-Saurashtra,22.91,70.94,3,2,2.27,2.35,0.084,1.0,13.9,3.72,0.0,1,3.181,1
Tripura,24.6,92.16,5,2,2.71,3.06,0.35,1.0,97.5,4.624,0.0,0,0.0,0
Tripura,23.37,90.8,5,2,2.06,2.07,0.006,1.0,12.2,3.393,0.0,0,0.0,0
Odisha,21.03,86.3,2,0,0.0,0.0,0.0,1.0,12.6,0.0,0.0,0,0.0,0
Rajasthan,26.67,75.78,2,1,2.58,2.58,0.0,1.0,76.9,3.876,0.0,0,0.0,0
Arunachal Pradesh,29.18,95.27,5,3,2.14,2.28,0.1,1.0,11.5,3.719,0.596,0,0.0,0
Tamil Nadu,11.27,77.83,2,0,0.0,0.0,0.0,1.0,17.8,0.0,0.0,0,0.0,0
West Bengal,21.87,88.43,3,0,0.0,0.0,0.0,1.0,5.8,0.0,0.0,0,0.0,0
Sikkim,27.57,88.78,4,2,2.18,2.21,0.033,1.0,20.1,3.569,0.0,0,0.0,0
Maharashtra-Koyna,18.32,73.14,4,0,0.0,0.0,0.0,1.0,53.7,0.0,0.0,0,0.0,0
Kerala,10.9,75.45,3,1,2.73,2.73,0.0,1.0,20.6,4.094,0.0,0,0.0,0
Kerala,10.32,76.14,3,0,0.0,0.0,0.0,1.0,23.6,0.0,0.0,0,0.0,0
Meghalaya,26.23,91.96,5,4,2.58,3.51,0.584,1.0,60.0,5.294,0.567,0,0.0,1
Kerala,9.78,77.18,3,0,0.0,0.0,0.0,1.0,35.9,0.0,0.0,0,0.0,0
Himachal Pradesh,30.48,76.71,5,4,2.46,2.66,0.175,1.0,12.1,4.368,1.123,0,0.0,0
Meghalaya,24.74,91.32,5,0,0.0,0.0,0.0,1.0,20.9,0.0,0.0,1,3.181,0
Bihar,25.28,85.9,4,2,2.82,2.99,0.171,1.0,144.4,4.607,0.0,0,0.0,0
Andaman Islands,11.46,93.14,5,3,2.15,2.32,0.119,1.0,18.4,3.748,0.894,2,6.362,0
Mizoram,23.02,93.15,5,4,2.31,2.62,0.18,1.0,26.1,4.166,0.853,0,0.0,1
Sikkim,27.95,88.86,4,2,2.29,2.32,0.025,1.0,28.8,3.738,0.0,0,0.0,0
West Bengal,21.91,87.75,3,1,2.2,2.2,0.0,1.0,13.0,3.303,0.0,0,0.0,0
Maharashtra-Koyna,17.37,74.74,4,1,2.13,2.13,0.0,1.0,33.5,3.202,0.0,0,0.0,0
Nagaland,26.94,94.3,5,3,2.71,3.77,0.756,1.0,21.8,5.652,0.029,1,1.616,1
West Bengal,23.32,89.27,3,0,0.0,0.0,0.0,1.0,34.6,0.0,0.0,0,0.0,0
Tripura,24.28,91.13,5,0,0.0,0.0,0.0,1.0,20.4,0.0,0.0,0,0.0,0
Sikkim,28.24,87.93,4,2,2.21,2.22,0.004,1.0,12.3,3.619,0.0,1,3.181,1
Himachal Pradesh,31.34,76.24,5,2,2.33,2.63,0.303,1.0,10.7,3.999,0.0,2,6.362,0
Uttarakhand,30.77,79.62,5,3,3.09,3.45,0.392,1.0,28.5,5.379,0.241,0,0.0,0
Mizoram,24.15,93.28,5,3,2.52,2.77,0.344,1.0,100.9,4.462,0.172,1,1.616,1
Bihar,25.81,84.76,4,2,2.6,2.95,0.352,1.0,39.0,4.464,0.0,0,0.0,0
Bihar,26.34,86.04,4,2,2.32,2.61,0.293,1.0,165.1,3.975,0.0,1,3.181,0
Maharashtra-Koyna,18.1,74.15,4,0,0.0,0.0,0.0,1.0,63.4,0.0,0.0,0,0.0,0
Odisha,20.92,84.97,2,0,0.0,0.0,0.0,1.0,25.9,0.0,0.0,0,0.0,0
Kashmir,34.04,74.09,5,3,2.49,3.32,0.589,1.0,31.5,4.994,0.688,1,1.616,0
Tamil Nadu,11.95,79.33,2,0,0.0,0.0,0.0,1.0,16.2,0.0,0.0,0,0.0,0
Bihar,25.68,84.71,4,1,2.17,2.17,0.0,1.0,44.2,3.249,0.0,1,3.181,0
Odisha,20.32,85.45,2,0,0.0,0.0,0.0,1.0,24.1,0.0,0.0,0,0.0,0
Manipur,25.31,94.31,5,0,0.0,0.0,0.0,1.0,25.6,0.0,0.0,0,0.0,0
Ladakh,34.89,78.28,5,4,2.36,2.55,0.164,1.0,42.7,4.211,0.74,0,0.0,0
Manipur,25.14,94.11,5,1,2.89,2.89,0.0,1.0,65.7,4.331,0.0,0,0.0,0
Assam,25.81,91.62,5,3,2.35,2.74,0.283,1.0,16.5,4.211,0.344,1,1.616,0
Andaman Islands,12.48,93.19,5,1,2.79,2.79,0.0,1.0,21.5,4.192,0.0,1,3.181,1
Madhya Pradesh,22.9,76.94,2,1,2.78,2.78,0.0,1.0,17.7,4.174,0.0,0,0.0,0
Maharashtra-Koyna,16.9,74.44,4,3,2.7,3.03,0.277,1.0,14.2,4.707,0.828,0,0.0,0
Maharashtra-Koyna,17.86,72.99,4,2,2.64,2.76,0.121,1.0,24.3,4.297,0.0,1,3.181,0
Kerala,10.73,76.54,3,1,2.23,2.23,0.0,1.0,38.3,3.352,0.0,1,3.181,0
Gujarat-Saurashtra,22.6,72.2,3,0,0.0,0.0,0.0,1.0,25.0,0.0,0.0,1,3.181,0
Mizoram,24.69,92.24,5,1,3.46,3.46,0.0,1.0,74.9,5.188,0.0,0,0.0,0
Mizoram,23.64,91.95,5,2,2.19,2.36,0.165,1.0,93.6,3.66,0.0,1,3.181,0
Himachal Pradesh,31.41,76.66,5,3,2.16,2.25,0.079,1.0,11.5,3.737,0.242,0,0.0,0
Bihar,26.08,84.21,4,0,0.0,0.0,0.0,1.0,86.0,0.0,0.0,0,0.0,0
Sikkim,26.86,88.05,4,4,2.27,2.74,0.272,1.0,74.7,4.239,1.039,0,0.0,0
Manipur,24.79,94.44,5,0,0.0,0.0,0.0,1.0,14.1,0.0,0.0,0,0.0,0
Sikkim,28.02,87.94,4,0,0.0,0.0,0.0,1.0,73.8,0.0,0.0,0,0.0,0
Bihar,25.72,86.06,4,4,3.93,5.1,1.149,1.0,27.8,7.798,0.358,0,0.0,1
Nagaland,26.84,93.65,5,3,2.35,2.93,0.414,1.0,38.5,4.435,0.653,0,0.0,0
Kerala,9.8,76.65,3,2,2.32,2.47,0.152,1.0,69.9,3.834,0.0,0,0.0,0
Andaman Islands,11.89,92.87,5,2,2.75,3.0,0.244,1.0,77.6,4.57,0.0,0,0.0,0
Ladakh,34.33,78.25,5,4,2.62,3.07,0.434,1.0,43.4,4.889,0.433,2,3.233,1
Bihar,26.55,84.22,4,2,2.1,2.17,0.071,1.0,40.9,3.461,0.0,0,0.0,0
Bihar,26.02,85.74,4,0,0.0,0.0,0.0,1.0,51.2,0.0,0.0,0,0.0,0
Maharashtra-Koyna,18.09,73.95,4,3,2.39,2.71,0.223,1.0,17.5,4.202,0.1,0,0.0,1
Kerala,11.36,75.86,3,0,0.0,0.0,0.0,1.0,7.6,0.0,0.0,0,0.0,0
Madhya Pradesh,22.83,78.0,2,0,0.0,0.0,0.0,1.0,24.2,0.0,0.0,0,0.0,0
Ladakh,33.65,78.08,5,3,2.24,2.59,0.253,1.0,54.6,4.005,0.77,0,0.0,0
Maharashtra-Koyna,16.66,73.38,4,3,2.49,2.81,0.278,1.0,15.4,4.382,0.958,0,0.0,0
Kerala,11.45,76.76,3,1,2.02,2.02,0.0,1.0,18.9,3.033,0.0,0,0.0,0
Meghalaya,24.79,92.29,5,1,2.04,2.04,0.0,1.0,40.8,3.068,0.0,1,3.181,0
Sikkim,28.16,87.92,4,3,2.29,2.52,0.171,1.0,37.6,3.99,0.487,1,1.616,0
Kashmir,34.03,75.32,5,4,2.22,2.78,0.321,1.0,29.3,4.258,0.804,0,0.0,0
Mizoram,23.66,92.93,5,1,2.38,2.38,0.0,1.0,50.7,3.568,0.0,0,0.0,0
Maharashtra-Koyna,17.33,73.33,4,2,2.81,3.16,0.346,1.0,10.4,4.776,0.0,0,0.0,0
Tripura,23.32,92.47,5,2,2.3,2.46,0.16,1.0,20.8,3.818,0.0,1,3.181,1
Mizoram,23.93,93.68,5,5,2.27,2.61,0.183,1.355,19.2,4.206,0.515,0,0.0,1
Madhya Pradesh,22.84,78.2,2,0,0.0,0.0,0.0,1.0,13.1,0.0,0.0,0,0.0,0
Tripura,23.5,91.64,5,0,0.0,0.0,0.0,1.0,15.7,0.0,0.0,0,0.0,0
Arunachal Pradesh,28.27,95.08,5,1,2.13,2.13,0.0,1.0,28.3,3.19,0.0,0,0.0,0
Arunachal Pradesh,27.35,94.08,5,2,2.4,2.46,0.06,1.0,20.5,3.916,0.0,2,6.362,0
Bihar,25.02,85.0,4,1,2.28,2.28,0.0,1.0,97.6,3.423,0.0,2,6.362,0
Manipur,25.36,94.23,5,2,2.22,2.24,0.017,1.0,54.8,3.636,0.0,0,0.0,0
Kerala,10.11,76.38,3,0,0.0,0.0,0.0,1.0,5.3,0.0,0.0,0,0.0,0
Madhya Pradesh,23.02,77.35,2,0,0.0,0.0,0.0,1.0,6.3,0.0,0.0,0,0.0,0
Karnataka,15.0,74.73,2,0,0.0,0.0,0.0,1.0,15.4,0.0,0.0,0,0.0,0
Madhya Pradesh,23.48,77.53,2,0,0.0,0.0,0.0,1.0,15.9,0.0,0.0,0,0.0,0
Ladakh,34.54,77.83,5,2,2.12,2.19,0.067,1.0,45.8,3.499,0.0,0,0.0,0
Sikkim,26.93,88.04,4,3,2.24,2.51,0.196,1.0,16.7,3.942,0.827,1,1.616,0
Tripura,24.88,91.8,5,2,2.31,2.46,0.149,1.0,30.6,3.818,0.0,1,3.181,0
Maharashtra-Koyna,18.16,73.4,4,0,0.0,0.0,0.0,1.0,62.0,0.0,0.0,0,0.0,0
West Bengal,22.24,88.06,3,3,2.45,2.84,0.314,1.0,17.5,4.382,0.392,0,0.0,1
Karnataka,14.94,76.34,2,0,0.0,0.0,0.0,1.0,50.3,0.0,0.0,0,0.0,0
Kerala,9.87,76.53,3,0,0.0,0.0,0.0,1.0,61.4,0.0,0.0,0,0.0,0
Uttarakhand,30.22,79.05,5,5,2.36,2.95,0.327,1.067,40.5,4.56,0.962,0,0.0,0
West Bengal,23.03,88.4,3,1,2.06,2.06,0.0,1.0,20.7,3.096,0.0,0,0.0,0
Kerala,10.32,76.81,3,0,0.0,0.0,0.0,1.0,7.6,0.0,0.0,0,0.0,0
Rajasthan,27.38,75.92,2,1,2.23,2.23,0.0,1.0,15.7,3.343,0.0,0,0.0,0
Andaman Islands,12.95,93.13,5,6,2.23,2.39,0.099,1.533,44.3,4.152,0.726,0,0.0,0
Karnataka,14.49,75.23,2,1,2.1,2.1,0.0,1.0,15.0,3.148,0.0,0,0.0,0
Ladakh,34.67,76.92,5,2,3.53,4.28,0.752,1.0,39.5,6.424,0.0,0,0.0,0
Andaman Islands,12.89,93.61,5,1,2.07,2.07,0.0,1.0,10.6,3.102,0.0,0,0.0,0
Kerala,11.32,76.44,3,0,0.0,0.0,0.0,1.0,8.9,0.0,0.0,1,3.181,0
Kerala,10.2,75.95,3,1,2.22,2.22,0.0,1.0,8.7,3.336,0.0,0,0.0,0
Madhya Pradesh,22.87,78.36,2,0,0.0,0.0,0.0,1.0,6.3,0.0,0.0,0,0.0,0
Uttarakhand,31.29,80.47,5,2,2.43,2.64,0.204,1.0,41.6,4.053,0.0,0,0.0,0
Delhi-NCR,29.59,76.33,4,0,0.0,0.0,0.0,1.0,60.3,0.0,0.0,1,3.181,0
Arunachal Pradesh,27.99,95.33,5,2,2.17,2.34,0.17,1.0,62.9,3.631,0.0,0,0.0,0
Kerala,9.74,75.55,3,2,2.33,2.35,0.018,1.0,23.7,3.799,0.0,0,0.0,1
Meghalaya,26.28,92.9,5,1,2.09,2.09,0.0,1.0,83.6,3.138,0.0,0,0.0,0
Madhya Pradesh,22.55,78.31,2,1,2.24,2.24,0.0,1.0,15.7,3.357,0.0,1,3.181,1
West Bengal,21.7,88.09,3,1,2.7,2.7,0.0,1.0,12.4,4.055,0.0,0,0.0,0
Rajasthan,25.98,75.82,2,0,0.0,0.0,0.0,1.0,12.5,0.0,0.0,0,0.0,0
Rajasthan,27.58,75.05,2,2,2.13,2.15,0.017,1.0,15.0,3.498,0.0,0,0.0,0
Nagaland,26.03,95.01,5,1,2.93,2.93,0.0,1.0,50.0,4.393,0.0,0,0.0,0
Assam,25.87,91.45,5,5,2.14,2.29,0.083,2.291,106.5,3.928,0.591,1,0.815,1
Uttarakhand,29.39,79.44,5,2,2.21,2.41,0.203,1.0,14.2,3.717,0.0,0,0.0,0
Bihar,25.07,85.59,4,1,3.03,3.03,0.0,1.0,28.0,4.538,0.0,2,6.362,0
West Bengal,21.84,87.65,3,2,2.49,2.79,0.295,1.0,9.7,4.232,0.0,0,0.0,0
Sikkim,28.19,88.33,4,2,2.18,2.27,0.085,1.0,33.5,3.593,0.0,0,0.0,0
West Bengal,23.47,88.68,3,0,0.0,0.0,0.0,1.0,6.5,0.0,0.0,0,0.0,0
Odisha,20.94,85.96,2,0,0.0,0.0,0.0,1.0,18.2,0.0,0.0,0,0.0,0
Arunachal Pradesh,27.99,94.69,5,5,2.37,3.04,0.343,1.03,36.7,4.655,1.053,0,0.0,0
Sikkim,26.54,88.38,4,1,2.03,2.03,0.0,1.0,28.6,3.05,0.0,2,6.362,0
West Bengal,22.4,88.49,3,1,3.17,3.17,0.0,1.0,57.3,4.75,0.0,1,3.181,0
West Bengal,21.74,89.01,3,1,2.76,2.76,0.0,1.0,63.3,4.147,0.0,0,0.0,0
Meghalaya,26.54,90.94,5,0,0.0,0.0,0.0,1.0,19.5,0.0,0.0,0,0.0,0
Delhi-NCR,28.97,76.89,4,2,2.17,2.18,0.01,1.0,16.5,3.555,0.0,0,0.0,0
Uttarakhand,30.28,80.34,5,5,2.32,2.52,0.16,1.166,39.3,4.241,1.063,0,0.0,0
Karnataka,14.54,75.65,2,0,0.0,0.0,0.0,1.0,6.7,0.0,0.0,0,0.0,0
Manipur,24.13,94.48,5,2,2.88,3.47,0.586,1.0,50.8,5.205,0.0,0,0.0,0
Gujarat-Kutch,22.38,70.67,5,1,2.31,2.31,0.0,1.0,58.2,3.472,0.0,0,0.0,0
West Bengal,22.11,88.42,3,0,0.0,0.0,0.0,1.0,6.6,0.0,0.0,2,6.362,0
Manipur,24.06,93.0,5,4,2.26,2.58,0.188,1.0,23.6,4.101,0.695,0,0.0,1
Ladakh,34.68,77.45,5,4,2.28,2.63,0.255,1.0,52.0,4.181,0.472,0,0.0,1
Meghalaya,25.96,91.54,5,0,0.0,0.0,0.0,1.0,27.1,0.0,0.0,0,0.0,0
Kerala,9.76,75.64,3,1,2.04,2.04,0.0,1.0,23.7,3.066,0.0,0,0.0,0
Karnataka,15.84,76.12,2,0,0.0,0.0,0.0,1.0,31.8,0.0,0.0,0,0.0,0
Maharashtra-Koyna,16.85,73.5,4,2,2.44,2.6,0.16,1.0,47.1,4.028,0.0,0,0.0,0
Rajasthan,26.2,75.52,2,1,2.03,2.03,0.0,1.0,25.2,3.043,0.0,1,3.181,1
Odisha,19.57,84.88,2,0,0.0,0.0,0.0,1.0,30.2,0.0,0.0,0,0.0,0
West Bengal,22.9,87.73,3,1,2.12,2.12,0.0,1.0,17.6,3.186,0.0,0,0.0,0
Gujarat-Kutch,22.23,69.66,5,2,2.05,2.09,0.033,1.0,56.6,3.383,0.0,2,6.362,0
Odisha,19.86,86.12,2,2,2.08,2.14,0.062,1.0,18.8,3.428,0.0,0,0.0,0
Madhya Pradesh,23.61,77.22,2,0,0.0,0.0,0.0,1.0,5.7,0.0,0.0,0,0.0,0
Meghalaya,26.35,91.39,5,2,2.97,3.34,0.365,1.0,42.3,5.041,0.0,1,3.181,1
Sikkim,26.89,89.51,4,1,2.03,2.03,0.0,1.0,40.8,3.044,0.0,4,10.0,1
Kashmir,34.27,74.49,5,2,2.47,2.82,0.353,1.0,33.1,4.269,0.0,2,6.362,0
Sikkim,27.93,89.24,4,4,2.48,2.65,0.164,1.0,50.7,4.379,0.249,0,0.0,1
Gujarat-Kutch,23.47,69.08,5,0,0.0,0.0,0.0,1.0,94.6,0.0,0.0,0,0.0,0
West Bengal,23.17,87.78,3,1,2.23,2.23,0.0,1.0,8.2,3.347,0.0,0,0.0,0
Kerala,10.45,76.84,3,0,0.0,0.0,0.0,1.0,27.0,0.0,0.0,0,0.0,0
Ladakh,34.14,76.94,5,4,2.2,2.38,0.154,1.0,15.5,3.961,0.06,0,0.0,0
Assam,25.8,91.25,5,2,2.53,2.89,0.358,1.0,45.2,4.368,0.0,0,0.0,0
Delhi-NCR,29.48,76.56,4,2,2.62,3.17,0.543,1.0,35.5,4.758,0.0,0,0.0,0
Karnataka,15.47,75.54,2,1,2.47,2.47,0.0,1.0,20.2,3.708,0.0,1,3.181,1
Andaman Islands,11.36,92.16,5,8,2.52,3.11,0.319,0.766,28.2,4.95,0.574,1,0.467,1
Uttarakhand,30.91,79.83,5,1,2.36,2.36,0.0,1.0,10.8,3.536,0.0,0,0.0,0
Nagaland,25.94,95.59,5,2,2.88,3.1,0.216,1.0,35.5,4.732,0.0,1,3.181,0
Madhya Pradesh,24.0,77.54,2,0,0.0,0.0,0.0,1.0,15.4,0.0,0.0,0,0.0,0
Kashmir,33.33,74.02,5,3,2.39,2.78,0.299,1.0,13.3,4.285,0.469,2,6.362,1
Ladakh,33.32,78.1,5,1,2.4,2.4,0.0,1.0,109.0,3.603,0.0,2,6.362,0
Gujarat-Saurashtra,22.12,72.53,3,0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,0,0.0,0
Tripura,24.8,92.44,5,0,0.0,0.0,0.0,1.0,43.4,0.0,0.0,0,0.0,0
Madhya Pradesh,22.84,76.78,2,1,2.07,2.07,0.0,1.0,14.6,3.106,0.0,0,0.0,0
Uttarakhand,30.7,80.34,5,5,2.46,2.65,0.151,0.856,19.4,4.443,0.401,0,0.0,1
Arunachal Pradesh,28.64,94.06,5,4,2.45,2.84,0.303,1.0,19.8,4.491,1.056,0,0.0,0
Rajasthan,26.15,75.09,2,0,0.0,0.0,0.0,1.0,6.7,0.0,0.0,0,0.0,0
Assam,27.07,92.27,5,2,2.11,2.2,0.093,1.0,16.1,3.484,0.0,0,0.0,0
Himachal Pradesh,30.66,77.83,5,2,2.08,2.11,0.032,1.0,25.5,3.423,0.0,0,0.0,0
Tripura,23.03,90.73,5,0,0.0,0.0,0.0,1.0,111.9,0.0,0.0,1,3.181,0
Arunachal Pradesh,28.53,95.66,5,4,2.47,2.66,0.157,1.0,20.8,4.363,1.018,0,0.0,1
Bihar,26.03,84.18,4,3,2.1,2.14,0.033,1.0,13.5,3.625,0.822,0,0.0,0
